user_skills_str,job_skills_str,job_title,job_idx,n_user_skills,n_job_skills,overlap_pct,label
"adobexd, api, flutter, git, java, kotlin, swift","adobexd, android, api, figma, flutter, git, ios, java, kotlin, swift",Mobile Developer Intern (Swift/Kotlin/Flutter),36,7,10,0.7,1
"firebase, mongodb, node, tailwind","linux, networking, security, sql","Staff Sistem Administration, IT Security & Networking",129,4,4,0.0,0
"network security, networking, scala, security","api, css, git, html, java, javascript, php, react, react native, sql",FULLSTACK DEVELOPER,42,4,10,0.0,0
"api, docker, elasticsearch, fastapi, flask, git, jest, linux, python, security, sql","api, docker, elasticsearch, fastapi, flask, git, jest, linux, nosql, python, security, sql",Agentic AI Engineer,29,11,12,0.9166666666666666,1
"firebase, graphql, network security, r","css, html, quality assurance, user research",Website Builder & Content Publisher [UI/UX Experience],145,4,4,0.0,0
"linux, redis, testing","agile, api, automation, cicd, git, postman, quality assurance, sql, testing, user research",Jr Quality Assurance (Manual),47,3,10,0.1,0
"adobexd, figma, testing","agile, automation, postman, selenium, sql, testing",Quality Assurance Engineer (Entry Level),70,3,6,0.16666666666666666,0
"aws, jest, php, quality assurance","jest, quality assurance",SUPERVISOR OPERASIONAL,171,4,2,1.0,1
"agile, api, docker, javascript, kubernetes, node, python, scala","agile, api, docker, git, javascript, kubernetes, node, python, scala",AI Software Developer,49,8,9,0.8888888888888888,1
"cloud, database, docker, java, javascript, node, nosql, react, rust, scala","cicd, cloud, database, django, docker, java, javascript, node, nosql, python, react, rust, scala, typescript",FullStack Engineer,15,10,14,0.7142857142857143,1
"api, css, git, html, java, laravel, nextjs, php, react, sql","api, css, git, html, java, javascript, laravel, nextjs, php, react, sql",IT System Developer,28,10,11,0.9090909090909091,1
"ios, kubernetes, springboot","api, css, git, html, java, javascript, laravel, nextjs, php, react, sql",IT System Developer,28,3,11,0.0,0
"css, html","android, bash, ios, linux, network security, networking, penetration, python",Junior Offensive Security Engineer,58,2,8,0.0,0
"django, flask, postman, r, tableau","api, express, git, java, javascript, mongodb, node, react, sql, vue",Internship IT Programmer,34,5,10,0.0,0
"java, numpy, pandas, pytorch, quality assurance, sklearn, tensorflow, terraform, wireshark","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,84,9,6,0.8333333333333334,1
"appium, database, wireshark","angular, css, django, flask, html, java, javascript, laravel, node, nosql, php, python, react, sql, vue",Junior Full Stack Engineer,10,3,15,0.0,0
"android, ansible, express, firebase, penetration, quality assurance","agile, api, cicd, git, go, mongodb, nosql, sql",[INTERN] Backend Developer,52,6,8,0.0,0
"api, azure, cicd, docker, jest, python, testing","api, azure, cicd, docker, git, jest, python, testing",AI Engineer,59,7,8,0.875,1
"network security, networking, penetration, security, wireshark","network security, networking, penetration, security",Network Security Department Head,143,5,4,1.0,1
"flutter, kotlin, kubernetes, security","docker, linux, powerbi, python, sql, user research",Data Engineer,88,4,6,0.0,0
"powerbi, python, sql, tableau","aspnet, css, html, sql",IT PROGRAMMER STAFF,121,4,4,0.25,0
"aws, azure, cicd, gcp, springboot","aws, azure, cicd, gcp, network security",Security Architect & Engineering,106,5,5,0.8,1
"design system, figma, rust, user research","agile, appium, automation, go, java, javascript, postman, python, quality assurance, security, selenium, testing, user research",Software Quality Assurance,23,4,13,0.07692307692307693,0
"adobexd, agile, figma, jest, testing, user research","agile, figma, jest, testing",Product Designer,131,6,4,1.0,1
"accessibility, android, ansible, api, appium, react native, tableau","api, css, git, html, java, javascript, php, react, react native, sql",FULLSTACK DEVELOPER,42,7,10,0.2,0
"express, flutter, java, network security, powerbi, quality assurance","cicd, css, design system, figma, git, react, rust, tailwind, typescript",Front-End React Developer,54,6,9,0.0,0
"fastapi, html, rust","agile, quality assurance",QA Engineer (Intern),138,3,2,0.0,0
"angular, css, html, java, javascript, network security, node, nosql, penetration, php, react, sql, user research, vue","angular, css, html, java, javascript, node, nosql, php, python, react, ruby on rails, sql, user research, vue",Internship Full Stack Developer Magang,14,14,14,0.8571428571428571,1
"ansible, aws, cicd, docker, kubernetes, linux, terraform","javascript, pandas, python, sql",Programmer/ IT Developer,120,7,4,0.0,0
"docker, linux, powerbi, python, sql","docker, linux, powerbi, python, sql, user research",Data Engineer,88,5,6,0.8333333333333334,1
"agile, powerbi, spark, springboot","design system, figma, user research",UI/UX Designer (Paid Internship),140,4,3,0.0,0
"android, graphql, powerbi, selenium","css, html, php",IT Support Intern (Magang),141,4,3,0.0,0
"api, firebase, flutter, git, react native","docker, linux, python, pytorch, scala, tensorflow",AI Engineer,87,5,6,0.0,0
"git, javascript, nextjs, node, nosql, python, react, react native, scala, sql","adobexd, android, api, figma, flutter, git, ios, java, kotlin, swift",Mobile Developer Intern (Swift/Kotlin/Flutter),36,10,10,0.1,0
"java, quality assurance, react native","java, quality assurance, react native, sql",IT JAVA Programmer (Junior),119,3,4,0.75,1
"database, linux, networking, security","aspnet, database, express, html, java, javascript, sql, testing",Web Developer,65,4,8,0.125,0
"java, javascript, php, python","java, javascript, php, python, testing",Software Engineer Intern,82,4,5,0.8,1
"graphql, r, react, sql","api, database, javascript, node, php, react, security, sql",Internship - Fullstack Developer,53,4,8,0.25,0
"numpy, pandas, python, pytorch, sklearn","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,84,5,6,0.8333333333333334,1
"android, api, figma, ios, java, javascript, pandas, react, tableau, typescript","android, api, figma, git, ios, java, javascript, react, react native, typescript",React Native Developer (Junior),40,10,10,0.8,1
"aws, bash, gcp, network security, networking, nosql, numpy, penetration, powerbi, python, quality assurance, security, user research, wireshark","aws, bash, gcp, network security, networking, penetration, python, security, user research, wireshark",IT Security Specialist,46,14,10,1.0,1
"aws, azure, cicd, gcp, terraform","aws, azure, cicd, docker, gcp, kubernetes, terraform",Cloud Engineer / DevOps Engineer,69,5,7,0.7142857142857143,1
"agile, design system, express, flutter, networking, node, postman, tailwind","agile, express, flutter, networking",Frontend Developer Intern,107,8,4,1.0,1
"api, aspnet, css, database, git, html, java, javascript, scala, user research","quality assurance, testing",Software QA Engineer Intern,137,10,2,0.0,0
"aspnet, php, sql","aspnet, express, php, sql",IT Programmer,118,3,4,0.75,1
"appium, automation, quality assurance, selenium, testing","design system, scala, user research",UI UX Designer Intern,139,5,3,0.0,0
"css, fastapi, kotlin, quality assurance, react native, ruby on rails","css, html, java, javascript, laravel, php",IT Programmer (Internship),68,6,6,0.16666666666666666,0
"agile, api, aws, azure, cicd, database, git, java, javascript, kubernetes, react native, sql","agile, api, aws, azure, cicd, database, docker, gcp, git, html, java, javascript, kubernetes, react native, sql",Junior Software Engineer (JAVA),12,12,15,0.8,1
"docker, linux, powerbi, python, sql, user research","ansible, aws, azure, bash, cicd, docker, gcp, go, kubernetes, linux, python, rust, security, terraform",IT Security Engineer,16,6,14,0.21428571428571427,0
"network security, security","javascript, pandas, python, sql",Programmer/ IT Developer,120,2,4,0.0,0
"docker, pandas, php, python, react native","android, aspnet, html, ios, java, javascript, sql",Web Developer - Internship,56,5,7,0.0,0
"javascript, python, sql","javascript, pandas, python, sql",Programmer/ IT Developer,120,3,4,0.75,1
"api, aspnet, aws, docker, express, git, go, graphql, javascript, kubernetes, nextjs, node, react, rust, scala, security, sql, terraform, typescript","api, aws, cicd, docker, git, go, graphql, javascript, kubernetes, nextjs, node, react, rust, scala, sql, terraform, typescript",Full Stack Software Engineer (CAD Rooms Cloud PDM),7,19,17,0.9411764705882353,1
"agile, angular, api, cicd, css, docker, elasticsearch, flask, gcp, git, html, java, javascript, kubernetes, node, nosql, python, r, react, ruby on rails, scala, testing, vue","agile, angular, api, aws, cicd, css, docker, gcp, git, html, java, javascript, jest, kubernetes, node, nosql, python, react, ruby on rails, scala, sql, testing, vue",Junior Software Engineer,1,23,23,0.8695652173913043,1
"database, linux, networking, security","automation, quality assurance, sql",IT Quality Assurance Automation,153,4,3,0.0,0
"cicd, cloud, database, django, docker, java, javascript, node, nosql, python, react, rust, scala, typescript","database, linux, networking, user research",IT Staff,133,14,4,0.25,0
"appium, aws, go, typescript","api, git, go, javascript, laravel, node, postman, react, sql",Fullstack Developer (Internship),37,4,9,0.1111111111111111,0
"azure, firebase, linux, network security, networking, security","linux, network security, networking, security",Cyber Security Officer,144,6,4,1.0,1
"accessibility, cloud, tableau","agile, java, javascript, php, sql",PROGRAMMER WEB,110,3,5,0.0,0
"agile, quality assurance, testing","agile, quality assurance, testing",Paid Internship - Software Quality Assurance (Tester),130,3,3,1.0,1
"database, java, javascript, mongodb, nosql, python, pytorch, spark, sql, tensorflow, testing","database, java, javascript, mongodb, nosql, python, pytorch, sql, tensorflow",Industrial Software Developer & Program Analyst,48,11,9,1.0,1
"network security, security","network security, security",Information Security Officer,167,2,2,1.0,1
"css, git, html, java, javascript, php, sql","database, gcp, scala, sql",Data Engineer,117,7,4,0.25,0
"api, firebase, flutter, react native","api, firebase, flutter, git, react native",Flutter Developer (Intern),89,4,5,0.8,1
"network security, security","git, javascript, python, sql",Junior Software Engineer (Fresh Graduate),176,2,4,0.0,0
"api, figma, firebase, flutter, git, react native, wireshark","api, firebase, flutter, git, react native",Flutter Developer (Intern),89,7,5,1.0,1
"agile, ansible, ruby on rails, sklearn","jest, numpy, pandas, python, pytorch, sklearn, tensorflow",AI/ML Engineer Intern,62,4,7,0.14285714285714285,0
"accessibility, database, linux, networking, rust, tableau, user research","database, linux, networking, user research",IT Staff,133,7,4,1.0,1
"network security, networking, user research","css, html, javascript, react, tailwind, vue",Front-End Developer – 8th hire at a Startup!,79,3,6,0.0,0
"agile, automation, selenium","agile, automation, selenium",IT Quality Assurance Tester (Manual / Automation),152,3,3,1.0,1
"fastapi, figma, flask, laravel, user research","cicd, cloud, database, django, docker, java, javascript, node, nosql, python, react, rust, scala, typescript",FullStack Engineer,15,5,14,0.0,0
"docker, laravel, node, python, sql","api, docker, laravel, node, python, sql",Tech Developer Intern - Staff,67,5,6,0.8333333333333334,1
"api, css, git, javascript, laravel, nextjs, php, react","api, css, git, html, java, javascript, laravel, nextjs, php, react, sql",IT System Developer,28,8,11,0.7272727272727273,1
"api, css, database, flask, git, html, java, javascript, php, quality assurance","api, css, database, git, html, java, javascript, php, python, quality assurance",Front End Developer,39,10,10,0.9,1
"api, azure, cicd, docker, git, jest, python, testing","agile, automation, postman, selenium, sql, testing",Quality Assurance Engineer (Entry Level),70,8,6,0.16666666666666666,0
"angular, database, elasticsearch, linux, network security, networking, numpy, security","database, linux, networking, security",IT support,180,8,4,1.0,1
"elasticsearch, flutter, network security, networking, powerbi, rust","css, django, fastapi, flask, html, java, javascript, mongodb, python, scala, sql",Backend Developer Intern,26,6,11,0.0,0
"accessibility, html, penetration, rust, security, spark, wireshark","penetration, rust, security","IT Security & Government, Risk and Compliance",149,7,3,1.0,1
"git, laravel, php, r, react, sql","penetration, rust, security","IT Security & Government, Risk and Compliance",149,6,3,0.0,0
"api, aws, cicd, docker, git, go, graphql, javascript, kubernetes, nextjs, node, react, rust, scala, sql, terraform, typescript","database, linux, networking, security",IT Support Intern,162,17,4,0.0,0
"automation, docker, git, php, postman","design system, figma, user research",UI/UX Designer (Paid Internship),140,5,3,0.0,0
"python, react native, sql","cicd, scala",Machine Learning Engineering Section Head,160,3,2,0.0,0
"python, react native, sql","aspnet, cloud, java, testing",Software Engineer - Intern (Paid Internship),102,3,4,0.0,0
"css, database, flutter, git, java, laravel, sql, tailwind","css, database, flutter, git, java, javascript, laravel, sql, tailwind",(Internship) Fullstack Development,50,8,9,0.8888888888888888,1
"numpy, python, pytorch, sklearn, tensorflow","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,84,5,6,0.8333333333333334,1
"css, html","agile, automation, flutter, java, javascript, quality assurance, react native, rust, testing, typescript, user research",QA Engineer Intern,27,2,11,0.0,0
"adobexd, flutter, html, pandas","adobexd, design system, figma, user research",UI/UX Desainer Intern,91,4,4,0.25,0
"nosql, postman","api, css, git, html, java, react, react native, typescript",Frontend Developer,60,2,8,0.0,0
"bash, powerbi, tableau, testing","database, java, mongodb, powerbi, python, sql, tableau, user research",IT Application Developer,61,4,8,0.25,0
"javascript, selenium","cicd, scala",Machine Learning Engineering Section Head,160,2,2,0.0,0
"aws, azure, cicd, docker, gcp, kubernetes, terraform","network security, security",Information Security Officer,167,7,2,0.0,0
"android, cicd, docker, gcp, spark, wireshark","angular, css, html, java, javascript, node, nosql, php, python, react, ruby on rails, sql, user research, vue",Internship Full Stack Developer Magang,14,6,14,0.0,0
"adobexd, firebase, sql","css, git, html, java, javascript, php, sql",Web Developer (Intern),55,3,7,0.14285714285714285,0
"ansible, database, gcp, linux, networking, security","database, linux, networking, security","Customer Service, Account Officer, Kepala Bagian Kredit, Driver, Audit Intern",174,6,4,1.0,1
"automation, figma, html, javascript, tailwind","api, css, express, git, html, java, javascript, node, react, sql",Programmer Intern,33,5,10,0.2,0
"graphql, react native, typescript","agile, network security, react native, rust, security",IT Security Internship,94,3,5,0.2,0
"design system, docker, javascript, quality assurance, swift","aspnet, css, html, sql",IT PROGRAMMER STAFF,121,5,4,0.0,0
"angular, springboot","aspnet, cloud, java, testing",Software Engineer Intern (Paid Internship),103,2,4,0.0,0
"database, linux, security","database, linux, networking, security","Customer Service, Account Officer, Kepala Bagian Kredit, Driver, Audit Intern",174,3,4,0.75,1
"numpy, pandas, python, pytorch, sklearn, tensorflow","postman, sql",Junior Quality Assurance,168,6,2,0.0,0
"database, terraform","api, express, git, java, javascript, mongodb, node, react, sql, vue",Internship IT Programmer,34,2,10,0.0,0
"flutter, numpy","agile, angular, api, aws, cicd, css, docker, gcp, git, html, java, javascript, jest, kubernetes, node, nosql, python, react, ruby on rails, scala, sql, testing, vue",Junior Software Engineer,1,2,23,0.0,0
"accessibility, design system, kotlin, python, vue","aws, bash, gcp, network security, networking, penetration, python, security, user research, wireshark",IT Security Specialist,46,5,10,0.1,0
"css, html, java, javascript, laravel, php","agile, figma, jest, testing",Product Designer,131,6,4,0.0,0
"css, database, flutter, git, java, javascript, laravel, tailwind","css, database, flutter, git, java, javascript, laravel, sql, tailwind",(Internship) Fullstack Development,50,8,9,0.8888888888888888,1
"cloud, ios, penetration, sql, wireshark","network security, networking, penetration, security",Network Security Department Head,143,5,4,0.25,0
"api, aws, azure, cicd, django, docker, fastapi, flask, gcp, java, javascript, jest, kubernetes, node, python, react, react native, redis, sql, tailwind, testing","api, aws, azure, cicd, css, django, docker, fastapi, flask, gcp, java, javascript, jest, kubernetes, node, python, react, react native, redis, sql, tailwind, testing, typescript",Full Stack AI Developer,2,21,23,0.9130434782608695,1
"api, firebase, git, react native","api, firebase, flutter, git, react native",Flutter Developer (Intern),89,4,5,0.8,1
"android, bash, ios, linux, network security, networking, penetration, python","api, express, git, java, javascript, mongodb, node, react, sql, vue",Internship IT Programmer,34,8,10,0.0,0
"android, python, quality assurance, tensorflow","git, java, linux, python, pytorch, scala, tensorflow, testing",Software Engineer - Backend,63,4,8,0.25,0
"design system, figma, user research","java, javascript, php, python, testing",Software Engineer Intern,82,3,5,0.0,0
"network security, networking, penetration, security","network security, networking, penetration, security, wireshark",Cyber Security Palo Alto,111,4,5,0.8,1
"css, fastapi, git, javascript, jest, nextjs, numpy, pandas, python, pytorch, quality assurance, react, sql, tailwind, typescript","css, fastapi, git, javascript, jest, nextjs, numpy, pandas, python, pytorch, quality assurance, react, sql, tailwind, typescript",AI Engineer Internship,8,15,15,1.0,1
"api, kotlin, nextjs, php, swift, tableau","aws, cicd, css, git, graphql, html, java, javascript, mongodb, nosql",Back-End Intern,31,6,10,0.0,0
"aspnet, azure, flask, networking, swift","api, aws, azure, cicd, css, django, docker, fastapi, flask, gcp, java, javascript, jest, kubernetes, node, python, react, react native, redis, sql, tailwind, testing, typescript",Full Stack AI Developer,2,5,23,0.08695652173913043,0
"api, aspnet, css, git, html, javascript, scala, user research","api, aspnet, css, database, git, html, java, javascript, scala, user research",Web Programmer,44,8,10,0.8,1
"figma, rust, user research","design system, figma, rust, user research",UI/UX Designer Intern,123,3,4,0.75,1
"postman, quality assurance, redis, wireshark","agile, automation, postman, selenium, sql, testing",Quality Assurance Engineer (Entry Level),70,4,6,0.16666666666666666,0
"django, graphql, java, pytorch, springboot, tableau","java, javascript, quality assurance, testing, typescript",QA Engineer Intern,90,6,5,0.2,0
"adobexd, bash, database, firebase, ios","aspnet, cloud, java, testing",Software Engineer - Intern (Paid Internship),102,5,4,0.0,0
"figma, kotlin, node, php, security, typescript","adobexd, design system, figma, user research",UI/UX Designer Intern,122,6,4,0.25,0
"agile, automation, selenium","api, express, git, java, javascript, mongodb, node, react, sql, vue",Internship IT Programmer,34,3,10,0.0,0
"api, gcp, mongodb, penetration, sklearn, wireshark","git, laravel, php, r, react, sql",Fullstack Programmer Apprentice- (WFO-Malang),97,6,6,0.0,0
"aspnet, azure, rust, security","api, docker, laravel, node, python, sql",Class Manager: Back-End (Intern),74,4,6,0.0,0
"aws, docker, elasticsearch, python, tensorflow","git, javascript, python, sql",Software & PLC Programmer,179,5,4,0.25,0
"network security, security","network security, security",IT Security Engineer,159,2,2,1.0,1
"elasticsearch, numpy, tableau","api, azure, cicd, docker, git, jest, python, testing",AI Engineer,59,3,8,0.0,0
"automation, database, git","android, api, flutter, git, kotlin",Internship Mobile Developer (Kotlin Android),77,3,5,0.2,0
"cicd, node, react native, testing","agile, figma, jest, testing",Product Designer,131,4,4,0.25,0
"azure, design system, jest, postman, python, selenium, spark, sql, tableau","azure, jest, python, spark, sql, tableau",Data Scientist,85,9,6,1.0,1
"go, quality assurance, react, testing","quality assurance, testing",Software QA Engineer Intern,137,4,2,1.0,1
"aws, azure, cicd, network security","aws, azure, cicd, gcp, network security",Security Architect & Engineering,106,4,5,0.8,1
"api, nextjs","docker, linux, powerbi, python, sql, user research",Data Engineer,88,2,6,0.0,0
"css, django, git, html, java, javascript, laravel, python, sql, user research","api, css, git, html, java, javascript, laravel, sql",Software Engineer - Fullstack (Laravel) Intern,51,10,8,0.875,1
"agile, api, automation, cicd, git, postman, quality assurance, sql, swift, testing, user research","agile, api, automation, cicd, git, postman, quality assurance, sql, testing, user research",Jr Quality Assurance (Manual),47,11,10,1.0,1
"network security, networking, penetration, security, wireshark","network security, networking, penetration, security, wireshark",Network Security Engineer,113,5,5,1.0,1
"api, git, graphql, java, springboot, sql","jest, quality assurance",SUPERVISOR OPERASIONAL,171,6,2,0.0,0
"aws, azure, gcp, penetration, python, security","aws, azure, bash, gcp, linux, penetration, python, security",Security Engineer,66,6,8,0.75,1
"agile, figma, jest, testing","penetration, security",GRC Staff (IT),163,4,2,0.0,0
"database, flutter, kubernetes, postman, react, react native","adobexd, api, css, firebase, git, html, java, javascript, networking, php, python, vue",Web Developer,30,6,12,0.0,0
"css, database, fastapi, kubernetes, linux, networking, security","database, linux, networking, security","Customer Service, Account Officer, Kepala Bagian Kredit, Driver, Audit Intern",174,7,4,1.0,1
"angular, css, html, java, javascript, node, nosql, php, python, react, ruby on rails, sql, user research, vue","angular, css, html, java, javascript, node, nosql, php, python, react, ruby on rails, sql, user research, vue",Internship Full Stack Developer Magang,14,14,14,1.0,1
"numpy, python, pytorch, sklearn, tensorflow","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,86,5,6,0.8333333333333334,1
"figma, pandas, postman, sql, tableau","api, css, fastapi, git, go, java, javascript, jest, nextjs, numpy, pandas, postman, react, sql, tailwind, typescript, wireshark",Software Engineer Internship,6,5,17,0.17647058823529413,0
"linux, network security, networking, security, wireshark","linux, network security, networking, penetration, security, wireshark",IT System Security Administrator,99,5,6,0.8333333333333334,1
"aws, azure, django, fastapi, flask, gcp, git, javascript, nextjs, python, react native, sql","aws, azure, django, fastapi, flask, gcp, git, javascript, nextjs, python, react, react native, scala, sql",Full Stack Developer (Python),17,12,14,0.8571428571428571,1
"database, firebase, go, nextjs, node, nosql","java, javascript, php, python, testing",Software Engineer Intern,82,6,5,0.0,0
"linux, networking, security","linux, networking, security, sql","Staff Sistem Administration, IT Security & Networking",129,3,4,0.75,1
"aws, azure, cicd, docker, gcp, kubernetes, terraform","aws, azure, cicd, docker, gcp, kubernetes, terraform",Cloud Engineer / DevOps Engineer,69,7,7,1.0,1
"appium, automation, pandas, pytorch, quality assurance, selenium, testing","appium, automation, quality assurance, selenium, testing",Jr Quality Assurance (Automation),114,7,5,1.0,1
"fastapi, firebase, powerbi, react native, user research","react native, user research",IT Intern (for Batam placement),147,5,2,1.0,1
"design system, figma, react native, scala, spark, user research","design system, figma, user research",UI/UX Designer (Paid Internship),140,6,3,1.0,1
"agile, powerbi, react native, rust, security, tailwind","agile, network security, react native, rust, security",IT Security Internship,94,6,5,0.8,1
"azure, css, flask, javascript, mongodb, quality assurance","api, css, django, express, fastapi, git, html, java, javascript, nextjs, node, python, react, sql",Fullstack Developer IT Intern,13,6,14,0.14285714285714285,0
"android, api, flutter, git, ios, testing","penetration, rust, security","IT Security & Government, Risk and Compliance",149,6,3,0.0,0
"api, docker, laravel, node, sql","api, docker, laravel, node, python, sql",Tech Developer Intern - Staff,67,5,6,0.8333333333333334,1
"cicd, design system, gcp, html, ios, nosql","css, fastapi, git, javascript, jest, nextjs, numpy, pandas, python, pytorch, quality assurance, react, sql, tailwind, typescript",AI Engineer Internship,8,6,15,0.0,0
"api, css, django, express, fastapi, firebase, git, html, javascript, nextjs, node, powerbi, python, react, spark, springboot","api, css, django, express, fastapi, git, html, java, javascript, nextjs, node, python, react, sql",Fullstack Developer IT Intern,13,16,14,0.8571428571428571,1
"bash, css, html, javascript, jest, penetration, selenium, tailwind, vue","css, html, javascript, react, tailwind, vue",Front-End Developer – 8th hire at a Startup!,79,9,6,0.8333333333333334,1
"angular, html, java, javascript, node, nosql, php, python, react, ruby on rails, sql, user research, vue","angular, css, html, java, javascript, node, nosql, php, python, react, ruby on rails, sql, user research, vue",Internship Full Stack Developer Magang,14,13,14,0.9285714285714286,1
"azure, css, django, go, quality assurance, react native","agile, express, flutter, networking",Backend Developer Intern,108,6,4,0.0,0
"automation, quality assurance, sql","automation, quality assurance, sql",IT Quality Assurance Automation,153,3,3,1.0,1
"aws, azure, gcp, network security","aws, azure, cicd, gcp, network security",Security Architect & Engineering,106,4,5,0.8,1
"numpy, python, pytorch, sklearn, tensorflow","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,86,5,6,0.8333333333333334,1
"aws, go, java, javascript, sql","aws, go, java, javascript, python, sql",IT Support (Application) - Jabodetabek,101,5,6,0.8333333333333334,1
"ios, scala","linux, network security, networking, penetration, security",Cybersecurity Bootcamp,112,2,5,0.0,0
"android, api, cicd, css, express, flutter, go, graphql, ios, javascript, kotlin, laravel, node, php, python, pytorch, react, react native, redis, selenium, sql, swift, tailwind, tensorflow, testing, vue","android, api, cicd, css, express, flutter, go, graphql, html, ios, javascript, kotlin, laravel, node, php, python, pytorch, react, react native, redis, sql, swift, tailwind, tensorflow, testing, vue",Full Stack / Mobile Developer & AI Engineer,0,26,26,0.9615384615384616,1
"adobexd, api, css, firebase, git, html, java, networking, php, python, vue","adobexd, api, css, firebase, git, html, java, javascript, networking, php, python, vue",Web Developer,30,11,12,0.9166666666666666,1
"aspnet, cloud, flask, kotlin, terraform, testing","cloud, git, go, scala, sql",Backend Developer (Golang),81,6,5,0.2,0
"postman, sql","postman, sql",Junior Quality Assurance,168,2,2,1.0,1
"android, bash, ios, linux, network security, networking, python","android, bash, ios, linux, network security, networking, penetration, python",Junior Offensive Security Engineer,58,7,8,0.875,1
"agile, angular, css, html, javascript, node, react, scala, testing, user research","agile, angular, css, html, javascript, node, react, scala, testing, user research",Web Developer,45,10,10,1.0,1
"adobexd, database","network security, networking, scala, security",Network Security Engineer,116,2,4,0.0,0
"agile, css, html, javascript, react, scala, testing, user research","agile, angular, css, html, javascript, node, react, scala, testing, user research",Web Developer,45,8,10,0.8,1
"azure, jest, python, spark, sql, tableau, vue","azure, jest, python, spark, sql, tableau",Data Scientist,85,7,6,1.0,1
